trial,n,capacity,greedy_count,brute_count,match
1,12,105.30719393677272,7,7,1
2,12,167.31890902252536,8,8,1
3,12,272.34138006215545,9,9,1
4,12,141.90140615429755,9,9,1
5,12,268.57038403796196,10,10,1
6,12,191.77037051747976,9,9,1
7,12,121.92982607013184,7,7,1
8,12,207.39406608175904,8,8,1
9,12,159.68895828972657,7,7,1
10,12,266.3331058722359,10,10,1
11,12,153.01132578801182,8,8,1
12,12,144.93946740631148,7,7,1
13,12,142.84736147408773,8,8,1
14,12,234.6729094586603,9,9,1
15,12,188.6261490106914,9,9,1
16,12,111.72707999443578,5,5,1
17,12,293.74187299383175,10,10,1
18,12,235.04251072081803,10,10,1
19,12,147.7371905231692,7,7,1
20,12,286.6518755987418,11,11,1
21,12,232.67774299321547,8,8,1
22,12,281.06729821586464,11,11,1
23,12,115.04877201475341,7,7,1
24,12,142.01530766795082,5,5,1
25,12,104.95727237963774,5,5,1
26,12,263.3173211193858,8,8,1
27,12,296.229937439652,11,11,1
28,12,202.28461193389563,9,9,1
29,12,232.84753698225447,9,9,1
30,12,235.4635890545466,10,10,1
